node_id,stage_id,stage_label,node_order,title,description,artifact,category,layout_x,layout_y,layout_width,layout_height
A1,01,Raw data and provenance,1,Raw station files,Immutable HTML-XLS/XLSX workbooks under raw_data for Pucón and La Poza.,raw_data/**/*.xls*,raw,0.045,0.7,0.145,0.125
A2,01,Raw data and provenance,2,Source manifest,"SHA-256 hashes, parsed sheet, row counts, station assignment, and date coverage.",outputs/tables/data_inventory.csv,raw,0.045,0.51,0.145,0.125
A3,01,Raw data and provenance,3,Date provenance repair,Pucón mixed Excel serials repaired to Spanish DMY; raw_date_value retained per row.,outputs/tables/mixed_date_encoding_audit.csv,raw,0.045,0.32,0.145,0.125
B1,02,Canonical observation layer,1,Canonical long table,"Station, date, variable, statistic, value, unit, source file, and source row.",data/processed/canonical_observations.csv,canonical,0.235,0.7,0.145,0.125
B2,02,Canonical observation layer,2,Validity checks,"Sentinel -99, negative values, implausible ranges, and explicit unit normalization.",outputs/tables/quality_flag_summary.csv,canonical,0.235,0.51,0.145,0.125
B3,02,Canonical observation layer,3,Model eligibility flags,"Unresolved dates, hash collisions, and invalid rows are excluded from model inputs.",data/processed/canonical_observations.csv,canonical,0.235,0.32,0.145,0.125
C1,03,Daily Chl-a target and QA gate,1,Daily Chl-a aggregation,"Station-day mean Chl-a with observed mask, source_count, source rows, and source files.",data/processed/daily_chl_a.csv,qa,0.425,0.7,0.145,0.125
C2,03,Daily Chl-a target and QA gate,2,Data-QA gate,Forecasts are allowed only after all P0 blockers are cleared or explicitly accepted.,reports/data_qa_blockers.csv,gate,0.425,0.51,0.145,0.125
C3,03,Daily Chl-a target and QA gate,3,Blocking evidence,"Duplicate station values, spike review, station hash collisions, and imputation dominance.",reports/data_qa_blockers.csv,blocker,0.425,0.32,0.145,0.125
D1,04,Observed-preserving 2024 imputation,1,Observed values preserved,"Direct 2024 measurements are never smoothed, capped, or overwritten.",data/processed/realistic_imputed_chl_a_2024.csv,impute,0.615,0.76,0.145,0.105
D2,04,Observed-preserving 2024 imputation,2,Short gaps,Bracketed PCHIP only when both neighboring observations exist and the gap is ≤10 days.,data/processed/realistic_imputed_chl_a_2024.csv,impute,0.615,0.6,0.145,0.105
D3,04,Observed-preserving 2024 imputation,3,Long gaps,"Prior-year circular DOY climatology, harmonic Huber fit, and deterministic analog residuals.",data/processed/realistic_imputed_chl_a_2024.csv,impute,0.615,0.44,0.145,0.105
D4,04,Observed-preserving 2024 imputation,4,Controls,"21-day boundary blend, imputed-only cap, no Savitzky-Golay in the final target.",outputs/tables/realistic_imputation_diagnostics.csv,impute,0.615,0.28,0.145,0.105
E1,05,Reviewer-ready outputs and model input,1,Evidence tables,"Preprocessing footprint, mixed-date audit, source manifests, diagnostics, and validation tables.",outputs/tables/preprocessing_footprint.csv,output,0.805,0.7,0.145,0.125
E2,05,Reviewer-ready outputs and model input,2,Validation figure,Observed versus imputed 2024 series with uncertainty proxy and imputation-method flags.,figures/realistic_imputation_validation.png,output,0.805,0.51,0.145,0.125
E3,05,Reviewer-ready outputs and model input,3,Model input contract,"Context windows, horizons, quantiles, and cache schema are used only after QA acceptance.",data/processed/foundation_model_predictions.csv,output,0.805,0.32,0.145,0.125
