source_file,station_id,station_name,parsed_sheet,excel_serial_date_count,slash_date_count,iso_date_count,unparsed_date_count,excel_serial_dmy_swapped_repair_count,nonmonotonic_parsed_date_steps,date_validation_status,date_validation_note,date_encoding_set,date_min,date_max
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/Boya La Poza dic 2024-marzo 2025.xls,la_poza,La Poza,html_table_1,0,91,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2024-12-19,2025-03-19
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza (3).xls,la_poza,La Poza,html_table_1,0,91,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2023-05-06,2023-08-06
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza (4).xls,la_poza,La Poza,html_table_1,0,93,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2023-07-06,2023-10-06
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza (5).xls,la_poza,La Poza,html_table_1,0,75,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2023-10-06,2023-12-19
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza 1.xls,la_poza,La Poza,html_table_1,0,38,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2022-10-04,2022-11-18
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/La poza feb-mayo 2025.xls,la_poza,La Poza,html_table_1,0,90,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2025-02-09,2025-05-09
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza(2).xls,la_poza,La Poza,html_table_1,0,38,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2022-10-13,2023-01-06
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza(6).xls,la_poza,La Poza,html_table_1,0,43,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2023-12-06,2024-03-06
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza(7).xls,la_poza,La Poza,html_table_1,0,89,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2024-02-07,2024-05-06
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/la_poza/la poza.xls,la_poza,La Poza,html_table_1,0,2,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2022-08-22,2022-10-04
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/pucon/Boya Litoral Pucon dic 2024-marzo 2025.xls,pucon,Pucón,html_table_1,0,91,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2024-12-19,2025-03-19
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/pucon/Fico VR litoral Pucón.xlsx,pucon,Pucón,Hoja1,282,404,0,0,282,0,repaired_mixed_excel_serial_dates,Numeric Excel serials in a mixed date table were repaired as day/month-swapped dates after the repair restored chronological row order; raw_date_value and date_parse_method retain row-level provenance.,excel_serial_dmy_swapped;slash_dmy,2021-07-28,2024-05-10
/Users/davidbustosusta/Desktop/transformers_forecaster_chlorophyll/raw_data/pucon/Litoral Pucon feb 2025- mayo 2025.xls,pucon,Pucón,html_table_1,0,90,0,0,0,0,ok,Parsed date values are usable.,slash_dmy,2025-02-09,2025-05-09
