station_id,variable,quality_flag,row_count
la_poza,chlorophyll_a,invalid_negative,24
la_poza,chlorophyll_a,invalid_sentinel,42
la_poza,chlorophyll_a,ok,1881
la_poza,dissolved_organic_matter,invalid_negative,247
la_poza,dissolved_organic_matter,invalid_sentinel,42
la_poza,dissolved_organic_matter,ok,1658
la_poza,dissolved_oxygen,implausible_dissolved_oxygen,4
la_poza,dissolved_oxygen,invalid_negative,2
la_poza,dissolved_oxygen,invalid_sentinel,3
la_poza,dissolved_oxygen,ok,492
la_poza,dissolved_oxygen_saturation,ok,273
la_poza,pH,implausible_ph,2
la_poza,pH,invalid_sentinel,3
la_poza,pH,ok,538
la_poza,phycocyanin,invalid_negative,246
la_poza,phycocyanin,invalid_sentinel,39
la_poza,phycocyanin,ok,1662
la_poza,turbidity,invalid_negative,194
la_poza,turbidity,invalid_sentinel,38
la_poza,turbidity,ok,1175
la_poza,water_temperature,implausible_temperature,9
la_poza,water_temperature,invalid_sentinel,44
la_poza,water_temperature,ok,1894
pucon,chlorophyll_a,invalid_negative,33
pucon,chlorophyll_a,invalid_sentinel,37
pucon,chlorophyll_a,ok,2498
pucon,dissolved_organic_matter,invalid_negative,156
pucon,dissolved_organic_matter,invalid_sentinel,37
pucon,dissolved_organic_matter,ok,2375
pucon,dissolved_oxygen,implausible_dissolved_oxygen,2
pucon,dissolved_oxygen,invalid_negative,2
pucon,dissolved_oxygen,invalid_sentinel,3
pucon,dissolved_oxygen,ok,1325
pucon,pH,implausible_ph,2
pucon,pH,invalid_sentinel,3
pucon,pH,ok,538
pucon,phycocyanin,invalid_negative,320
pucon,phycocyanin,invalid_sentinel,35
pucon,phycocyanin,ok,2213
pucon,turbidity,invalid_negative,122
pucon,turbidity,invalid_sentinel,33
pucon,turbidity,ok,1900
pucon,water_temperature,implausible_temperature,36
pucon,water_temperature,invalid_sentinel,44
pucon,water_temperature,ok,2491
